distance,100nm_img1.tiff,110nm_img1.tiff,120nm_img1.tiff,30nm_img1.tiff,40nm_img1.tiff,50nm_img1.tiff,60nm_img1.tiff,70nm_img1.tiff,80nm_img1.tiff,90nm_img1.tiff
-51.0,-9.84149169921973,-5.966279029845499,-12.94523334503203,2.1896419525146675,-9.14235973358227,-15.869955062866374,-4.405481338501437,-12.34824180602949,-14.467649459838732,-10.862607955934482
-50.0,-10.518190383912215,-5.488166809082371,-13.146097183228399,-0.2919788360595348,-10.741665840149896,-14.95106315612838,-3.370351791382351,-13.63976478576597,-14.834613800048649,-12.149135589601691
-49.0,-11.279062271118999,-5.727612495423733,-13.750912666322078,-2.0811634063720574,-12.841681480408743,-13.551073074341437,-2.504013061523825,-14.36506462097136,-15.354490280151097,-13.614526748659083
-48.0,-11.878416061401598,-6.711332798006117,-14.667450904847565,-2.7863044738769434,-15.212838172913617,-11.86454963684161,-1.9197444915774267,-14.49775695800775,-15.873197555541749,-14.947748184205192
-47.0,-12.047718048095089,-8.152531623842192,-15.674323081971291,-2.2830924987793004,-17.4900588989265,-10.086545944214626,-1.6246185302735634,-14.112785339355632,-16.060489654540923,-15.746908187866087
-46.0,-11.587486267088327,-9.544882774354074,-16.480634689331453,-0.7911491394043182,-19.20214843750028,-8.326091766358223,-1.5564403533935858,-13.312005996704466,-15.527059555053954,-15.653511047361738
-45.0,-10.426530838010388,-10.345453262328851,-16.7858066558832,1.2421112060546733,-19.86420822143525,-6.590822219849335,-1.617696762084936,-12.146526336670394,-13.987190246582776,-14.472135543820368
-44.0,-8.622684478756872,-10.149703979490498,-16.324211120603703,3.356258392333954,-19.11660003662016,-4.8345603942878705,-1.6742553710937256,-10.593425750733095,-11.389871597291165,-12.224548339839876
-43.0,-6.309307098385399,-8.799182891842758,-14.91097164153757,5.264415740966797,-16.85337066650253,-3.0234584808356555,-1.540611267089895,-8.589937210083777,-7.953014373780884,-9.127129554744114
-42.0,-3.6310672759974887,-6.388915061946878,-12.490228652950144,6.894948959350563,-13.269602775571991,-1.1716289520271304,-0.9830493927004251,-6.0957641601572785,-4.083964347840951,-5.510008811946163
-41.0,-0.7090673446619656,-3.200946807857143,-9.174941062922663,8.307476043701172,-8.82037067413159,0.6700286865227703,0.2291812896724037,-3.130463600159766,-0.23502063751390256,-1.7227458953814805
-40.0,2.3473958969150837,0.3906915187876771,-5.2425785064649935,9.561492919921857,-4.099297523496909,2.4432353973381744,2.2398014068595513,0.21743011474478546,3.23744869232042,1.9345026016272904
-39.0,5.392904281619316,4.003932952884509,-1.0789821147874594,10.641660690307617,0.30203342437867003,4.092897415160571,5.025781631468757,3.796851158140869,6.149558544157715,5.237565517428617
-38.0,8.194090843203085,7.296235561373751,2.9001710414923445,11.461938858032214,3.9043750762948295,5.558252334594185,8.378108978270221,7.380941390989887,8.479121208190058,8.016331672670715
-37.0,10.417025566102392,9.98309707641796,6.323141098025163,11.900516510009766,6.393513679504794,6.752635955810156,11.942306518553522,10.64489269256485,10.29401683807301,10.10702705383428
-36.0,11.669954299926685,11.83203601837243,8.892544746400446,11.826074600219728,7.617507934570301,7.555971145629598,15.288549423216585,13.181294441222244,11.660808563231937,11.316284179687605
-35.0,11.598726272581404,12.659662246703768,10.378962516784886,11.11631965637207,7.583559036254535,7.83391666412345,17.97859764099039,14.57541942596393,12.564285278319966,11.419505119322515
-34.0,9.985668182369976,12.324382781980878,10.598589897154598,9.688827514648448,6.444623947142926,7.448148727417121,19.59935760497993,14.533401489257827,12.866921424865621,10.198650360104814
-33.0,6.807627677913169,10.726414680478216,9.394241333005235,7.5546112060546875,4.478428840636483,6.260628700256685,19.789567947387642,12.97065925598189,12.325879096985059,7.500100612636417
-32.0,2.211353301996681,7.8035092353781925,6.645993232723092,4.828914642334004,1.9943523406974069,4.116371154785834,18.274158477783676,10.002616882325157,10.650023460388713,3.2736330032296785
-31.0,-3.585426330572437,3.5288400649974654,2.2931635379738746,1.6834354400634766,-0.8044691085823915,0.8322868347176717,14.905224800110773,5.838198661805309,7.585095405579669,-2.4268722534241935
